SepalLengthCm,SepalWidthMm,PetalLengthCm,PetalWidthCm,State
4.9,24.0,3.3,1.0,dry
6.6,29.0,4.6,1.3,dry
5.2,27.0,3.9,1.4,dry
5.0,20.0,3.5,1.0,wet
5.9,30.0,4.2,1.5,dry
6.0,22.0,4.0,1.0,dry
6.1,29.0,4.7,1.4,wet
5.6,29.0,3.6,1.3,dry
6.7,31.0,4.4,1.4,dry
5.6,30.0,4.5,1.5,dry
5.8,27.0,4.1,1.0,wet
6.2,22.0,4.5,1.5,dry
5.6,25.0,3.9,1.1,dry
5.9,32.0,4.8,1.8,wet
6.1,28.0,4.0,1.3,dry
6.3,25.0,4.9,1.5,dry
6.1,28.0,4.7,1.2,dry
6.4,29.0,4.3,1.3,wet
6.6,30.0,4.4,1.4,dry
6.8,28.0,4.8,1.4,dry
6.7,30.0,5.0,1.7,dry
6.0,29.0,4.5,1.5,wet
5.7,26.0,3.5,1.0,dry
5.5,24.0,3.8,1.1,wet
5.5,24.0,3.7,1.0,wet
5.8,27.0,3.9,1.2,dry
6.0,27.0,5.1,1.6,dry
5.4,30.0,4.5,1.5,dry
6.0,34.0,4.5,1.6,dry
6.7,31.0,4.7,1.5,dry
6.3,23.0,4.4,1.3,dry
5.6,30.0,4.1,1.3,wet
5.5,25.0,4.0,1.3,dry
5.5,26.0,4.4,1.2,dry
6.1,30.0,4.6,1.4,dry
5.8,26.0,4.0,1.2,dry
5.0,23.0,3.3,1.0,wet
5.6,27.0,4.2,1.3,dry
5.7,30.0,4.2,1.2,dry
5.7,29.0,4.2,1.3,dry
6.2,29.0,4.3,1.3,wet
5.1,25.0,3.0,1.1,wet
5.7,28.0,4.1,1.3,dry
6.3,33.0,6.0,2.5,wet
5.8,27.0,5.1,1.9,wet
7.1,30.0,5.9,2.1,wet
6.3,29.0,5.6,1.8,dry
6.5,30.0,5.8,2.2,wet
7.6,30.0,6.6,2.1,dry
4.9,25.0,4.5,1.7,dry
7.3,29.0,6.3,1.8,wet
6.7,25.0,5.8,1.8,wet
7.2,36.0,6.1,2.5,wet
6.5,32.0,5.1,2.0,dry
6.4,27.0,5.3,1.9,wet
6.8,30.0,5.5,2.1,wet
5.7,25.0,5.0,2.0,wet
5.8,28.0,5.1,2.4,wet
6.4,32.0,5.3,2.3,wet
6.5,30.0,5.5,1.8,dry
7.7,38.0,6.7,2.2,wet
7.7,26.0,6.9,2.3,dry
6.0,22.0,5.0,1.5,dry
6.9,32.0,5.7,2.3,dry
5.6,28.0,4.9,2.0,dry
7.7,28.0,6.7,2.0,wet
6.3,27.0,4.9,1.8,dry
6.7,33.0,5.7,2.1,wet
7.2,32.0,6.0,1.8,dry
6.2,28.0,4.8,1.8,wet
6.1,30.0,4.9,1.8,dry
6.4,28.0,5.6,2.1,wet
7.2,30.0,5.8,1.6,wet
7.4,28.0,6.1,1.9,dry
7.9,38.0,6.4,2.0,wet
6.4,28.0,,2.2,wet
6.3,28.0,5.1,1.5,wet
6.1,26.0,5.6,1.4,dry
7.7,30.0,6.1,2.3,dry
6.3,34.0,5.6,2.4,wet
6.4,31.0,5.5,1.8,dry
6.0,30.0,4.8,1.8,dry
6.9,31.0,5.4,2.1,dry
6.7,31.0,5.6,2.4,wet
6.9,31.0,5.1,2.3,dry
5.8,27.0,5.1,1.9,dry
6.8,32.0,5.9,2.3,wet
6.7,33.0,5.7,2.5,dry
6.7,30.0,5.2,2.3,wet
6.3,25.0,5.0,1.9,wet
6.5,30.0,5.2,2.0,dry
6.2,34.0,5.4,2.3,dry
5.9,30.0,5.1,1.8,wet
